"filename", "language", "TypeScript", "JSON", "XML", "JavaScript", "JSON with Comments", "Markdown", "TypeScript JSX", "PostCSS", "Properties", "comment", "blank", "total"
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\JobResponse.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\LoginRequest.ts", "TypeScript", 4, 0, 0, 0, 0, 0, 0, 0, 0, 13, 2, 19
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\LoginResponse.ts", "TypeScript", 16, 0, 0, 0, 0, 0, 0, 0, 0, 46, 2, 64
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\MasterGenreResponse.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 22, 2, 31
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\MasterSkillResponse.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 23
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\MessageResponse.ts", "TypeScript", 3, 0, 0, 0, 0, 0, 0, 0, 0, 10, 2, 15
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\OrganizationDetailResponse.ts", "TypeScript", 13, 0, 0, 0, 0, 0, 0, 0, 0, 40, 2, 55
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\OrganizationInfoResponse.ts", "TypeScript", 5, 0, 0, 0, 0, 0, 0, 0, 0, 16, 2, 23
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\OrganizationListItemResponse.ts", "TypeScript", 11, 0, 0, 0, 0, 0, 0, 0, 0, 34, 2, 47
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\OrganizationListItemResponsePagedResponse.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 28, 2, 40
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\OrganizationResponse.ts", "TypeScript", 10, 0, 0, 0, 0, 0, 0, 0, 0, 31, 2, 43
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\OrganizationWithAdminResponse.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 7, 2, 15
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\PermissionDetailInfoResponse.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 19, 2, 27
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\PermissionDetailResponse.ts", "TypeScript", 9, 0, 0, 0, 0, 0, 0, 0, 0, 25, 2, 36
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\PermissionListItemResponse.ts", "TypeScript", 8, 0, 0, 0, 0, 0, 0, 0, 0, 25, 2, 35
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\PermissionResponse.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 22, 2, 31
"d:\github\pecus-aspire\pecus.Frontend\src\connectors\api\pecus\models\ProblemDetails.ts", "TypeScript", 1, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 6
